1	1	10	3	7.8809
2	3	20.881	3	7.0606
3	2	30.942	3	2.355
4	1	36.297	3	2.8337
5	4	42.13	3	4.8894
6	4	50.02	3	3.053
7	3	56.073	3	5.0806
8	2	64.153	3	5.2673
9	3	72.42	3	4.9464
10	1	80.367	3	2.9343
11	3	86.301	3	3.4617
12	2	92.763	3	2.2583
13	2	98.021	3	4.5137
14	4	105.53	3	2.1467
15	4	110.68	3	7.2186
16	1	120.9	3	3.259
17	1	127.16	3	6.3694
18	3	136.53	3	7.8465
19	1	147.38	3	2.7982
20	1	153.17	3	4.8084
21	3	160.98	3	5.2347
22	3	169.22	3	3.3624
23	2	175.58	3	3.3624
24	2	181.94	3	2.6962
25	1	187.64	3	3.7696
26	4	194.41	3	4.0312
27	4	201.44	3	2.2275
28	3	206.67	3	3.6375
29	2	213.3	3	3.1258
30	1	219.43	3	6.3127
31	1	228.74	3	4.0323
32	3	235.77	3	3.3889
33	3	242.16	3	2.2631
34	3	247.43	3	3.4452
35	4	253.87	3	2.4151
36	1	259.29	3	2.7442
37	2	265.03	3	2.4023
38	2	270.43	3	6.9651
39	4	280.4	3	4.1894
40	1	287.59	3	2.945
41	4	293.53	3	7.4335
42	4	303.97	3	3.0089
43	1	309.97	3	2.8441
44	3	315.82	3	2.9722
45	3	321.79	3	5.8665
46	2	330.66	3	3.0887
47	1	336.75	3	5.0753
48	4	344.82	3	4.7724
49	3	352.59	3	3.9422
50	1	359.54	3	2.392
51	3	364.93	3	5.1374
52	3	373.07	3	2.4275
53	4	378.49	3	4.9118
54	2	386.4	3	3.596
55	2	393	3	3.1245
56	2	399.13	3	3.7055
57	1	405.83	3	2.7582
58	4	411.59	3	2.2446
59	4	416.83	3	2.1338
60	4	421.97	3	5.3529
61	2	430.32	3	3.6853
62	4	437.01	3	3.9941
63	4	444	3	2.3209
64	3	449.32	3	3.4607
65	2	455.78	3	6.9972
66	3	465.78	3	6.0662
67	4	474.84	3	4.2122
68	1	482.06	3	2.2134
69	1	487.27	3	3.7055
70	2	493.98	3	3.0887
71	2	500.06	3	4.298
72	1	507.36	3	3.1569
73	2	513.52	3	3.9383
74	4	520.46	3	3.7116
75	4	527.17	3	4.3304
76	3	534.5	3	4.0018
77	1	541.5	3	6.623
78	3	551.12	3	2.3539
79	2	556.48	3	3.4758
80	2	562.95	3	16
